[2025-08-06 22:46:21,562: INFO: main: Logging is implemented]
[2025-08-12 11:05:19,710: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-08-12 11:05:19,714: INFO: common: yaml file: params.yaml loaded successfully]
[2025-08-12 11:06:08,046: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-08-12 11:06:27,769: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-08-12 11:06:27,772: INFO: common: yaml file: params.yaml loaded successfully]
[2025-08-12 11:06:47,732: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-08-12 11:06:47,738: INFO: common: yaml file: params.yaml loaded successfully]
[2025-08-12 11:06:47,742: INFO: common: created directory at: artifacts]
[2025-08-12 11:06:47,745: INFO: common: created directory at: artifacts/data_ingestion]
[2025-08-12 11:06:52,099: INFO: 1454106726: File is downloaded]
[2025-08-12 11:35:28,909: INFO: main: stage Data Ingestion stage initiated]
[2025-08-12 11:35:28,912: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-08-12 11:35:28,913: INFO: common: yaml file: params.yaml loaded successfully]
[2025-08-12 11:35:28,914: INFO: common: created directory at: artifacts]
[2025-08-12 11:35:28,914: INFO: common: created directory at: artifacts/data_ingestion]
[2025-08-12 11:35:33,396: INFO: data_ingestion: File is downloaded]
[2025-08-12 11:35:33,553: INFO: main: Stage Data Ingestion stage Completed]
